0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.350000,-0.180000,0.000000,0.870000,0.000000,0.000000,0.000000
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.005385,-0.005573,0.011034,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.327932,-0.179834,-0.007362,0.862434,0.005155,-0.000536,-0.001430
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.010771,-0.011145,0.022069,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.305865,-0.179668,-0.014724,0.854867,0.010310,-0.001071,-0.002861
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.016156,-0.016718,0.033103,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.283797,-0.179502,-0.022087,0.847301,0.015465,-0.001607,-0.004291
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.021542,-0.022291,0.044137,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.261729,-0.179336,-0.029449,0.839734,0.020619,-0.002142,-0.005721
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.026927,-0.027863,0.055172,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.239662,-0.179169,-0.036811,0.832168,0.025774,-0.002678,-0.007152
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.032313,-0.033436,0.066206,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.217594,-0.179003,-0.044173,0.824601,0.030929,-0.003214,-0.008582
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.037698,-0.039009,0.077240,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.195526,-0.178837,-0.051536,0.817035,0.036084,-0.003749,-0.010012
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.043084,-0.044581,0.088274,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.173459,-0.178671,-0.058898,0.809468,0.041239,-0.004285,-0.011443
0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,1.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,-0.100000,0.000000,0.000000,0.300000,-0.200000,0.000000,0.048469,-0.050154,0.099309,0.350000,0.180000,0.000000,0.870000,0.000000,0.000000,0.000000,0.151391,-0.178505,-0.066260,0.801902,0.046394,-0.004820,-0.012873
